Unnamed: 0,id,tweet_url,created_at,parsed_created_at,user_screen_name,text,original_text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,hour,date,mentioned_accounts,nb_words,nb_chars,nb_mentions,nb_hashtags,nb_urls,emojis,emojis_names,nb_emojis,part,vaccine name,product name,company name,side effects,risks,benefits,vaccine benefits,organization,vaccine type,regulatory status,clinical trial phase,vaccination campaign,adverse reaction,immunization rate,public health policy,vaccine efficacy,vaccine safety,population segment,marketing strategy,public opinion,government funding,regulatory decision,economic impact,sickness name
11,1311479285425876992,https://twitter.com/FR24NewsFrance/status/1311479285425876992,Thu Oct 01 01:33:22 +0000 2020,2020-10-01 01:33:22,FR24NewsFrance,"Le vaccin contre le coronavirus Moderna ne sera pas disponible avant le jour du scrutin, selon le PDG","Le vaccin contre le coronavirus Moderna ne sera pas disponible avant le jour du scrutin, selon le PDG https://t.co/v9QxbAyxgk",original,,,,https://www.fr24news.com/fr/a/2020/10/le-vaccin-contre-le-coronavirus-moderna-ne-sera-pas-disponible-avant-le-jour-du-scrutin-selon-le-pdg.html,0.0,,,,fr,,FALSE,0.0,,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1245483551749005312,Wed Apr 01 22:50:04 +0000 2020,FALSE,FR24 News France,0,108,1,2,,FR24 NEWS,339359,,,FALSE,1,2020-10-01,,22.0,125.0,0,0.0,1.0,,,0.0,1.0,Moderna,,,,,,,PDG,,,,,,,,,,,,,,,,
12,1311481929481428993,https://twitter.com/CaronaUpdates/status/1311481929481428993,Thu Oct 01 01:43:52 +0000 2020,2020-10-01 01:43:52,CaronaUpdates,"Après le pré-achat de 300Mdoses à Astrazeneca-Gilead, nouvelle commande aux ""copains"" Miam ! Vaccins contre la Covid-19 : l’Union européenne signe avec Sanofi-GSK un contrat de précommande |","Après le pré-achat de 300Mdoses à Astrazeneca-Gilead, nouvelle commande aux ""copains"" Miam !  Vaccins contre la Covid-19 : l’Union européenne signe avec Sanofi-GSK un contrat de précommande | https://t.co/U2fvrgaHnf https://t.co/6NgU9GRi6y",retweet,,,,,28.0,,,,fr,,,32.0,1309422873010937856,ADv_in21,1243861395759935488,"<a href=""https://twitter.com/CaronaUpdates"" rel=""nofollow"">Carona Updates</a>",1264545240414687232,Sun May 24 13:15:07 +0000 2020,FALSE,Follow for each & every Corona Virus Update. #CoronaVirus #Covid19 This Bot is created and controlled by @SukhpreetSS_YT,51,662,1,2,,Corona Virus Updates,97953,,,FALSE,1,2020-10-01,,38.0,239.0,0,0.0,2.0,,,0.0,1.0,,,"Astrazeneca-Gilead, Sanofi-GSK",,,,,Union européenne,,,,,,,,,,,,,,,,
13,1311486718911164416,https://twitter.com/jijijojo45/status/1311486718911164416,Thu Oct 01 02:02:54 +0000 2020,2020-10-01 02:02:54,jijijojo45,"à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI.","à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI. https://t.co/9BUP7J1rPS",retweet,,,,,74.0,,,,fr,,,75.0,1311244028390912000,ADv_in21,1243861395759935488,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",533564748,Thu Mar 22 20:39:20 +0000 2012,FALSE,,11997,118,275,1,,jijijojo,11446,,,FALSE,2,2020-10-01,,49.0,300.0,0,0.0,1.0,,,0.0,1.0,,,SANOFI,,,,,,,,,,,,,,,,,,,,,
14,1311490514437443585,https://twitter.com/Du_BonJeu/status/1311490514437443585,Thu Oct 01 02:17:59 +0000 2020,2020-10-01 02:17:59,Du_BonJeu,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,,,,,788.0,,,,fr,,,956.0,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",510934576,Thu Mar 01 22:11:05 +0000 2012,FALSE,"0fficial's Gérard Manmieu (du_bon jeu ,)   .. que quiconque ! Si tu n'as une dose.. ni un zeste d'humour,  passe ton chemin..! ♠♥♣♦",93748,808,4309,12,France,Gerard MANMIEU,64438,,,FALSE,2,2020-10-01,,47.0,304.0,0,0.0,1.0,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9.0,1.0,,,,,,,,SANOFI PASTEUR,,,,,,,,,,,,,,,,
15,1311491033528766466,https://twitter.com/FR24NewsFrance/status/1311491033528766466,Thu Oct 01 02:20:03 +0000 2020,2020-10-01 02:20:03,FR24NewsFrance,Moderna dit que son vaccin contre le coronavirus ne sera pas prêt avant 2021,Moderna dit que son vaccin contre le coronavirus ne sera pas prêt avant 2021 https://t.co/UMI4j8yzPS,original,,,,https://www.fr24news.com/fr/a/2020/10/moderna-dit-que-son-vaccin-contre-le-coronavirus-ne-sera-pas-pret-avant-2021.html,0.0,,,,fr,,FALSE,0.0,,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",1245483551749005312,Wed Apr 01 22:50:04 +0000 2020,FALSE,FR24 News France,0,107,1,2,,FR24 NEWS,338651,,,FALSE,2,2020-10-01,,18.0,100.0,0,0.0,1.0,,,0.0,1.0,,,,,,,,Moderna,,,,,,,,,,,,,,,,
16,1311493141149749248,https://twitter.com/kino13/status/1311493141149749248,Thu Oct 01 02:28:25 +0000 2020,2020-10-01 02:28:25,kino13,COVID-19: pas de résultats avant l’élection pour les essais cliniques du vaccin de Moderna | JDM,COVID-19: pas de résultats avant l’élection pour les essais cliniques du vaccin de Moderna | JDM https://t.co/zNmMUQF0jp,original,,,,https://www.journaldemontreal.com/2020/09/30/covid-19-pas-de-resultats-avant-lelection-pour-les-essais-cliniques-du-vaccin-de-moderna,0.0,,,,fr,,FALSE,0.0,,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",92858283,Thu Nov 26 23:28:05 +0000 2009,FALSE,un gars qui aime la Vie ;-),7708,226,356,33,Montréal PQ,turcotte dany,57205,,,FALSE,2,2020-10-01,,21.0,120.0,0,0.0,1.0,,,0.0,1.0,,,"Moderna, JDM",,,,,,,,,,,,,,,,,,,,,
17,1311493226424041476,https://twitter.com/IrishCo82996599/status/1311493226424041476,Thu Oct 01 02:28:46 +0000 2020,2020-10-01 02:28:46,IrishCo82996599,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,,,,,788.0,,,,fr,,,955.0,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1209181259789938689,Mon Dec 23 18:37:41 +0000 2019,FALSE,"m""fous d'avoir des abonnés pas là pour légo-cash-ça pique-cherche les JUSTES-Humanité Humaine-la propriété d1 volume n'appartient qu'a lui meme-représentativité",55808,1353,651,8,Terre UNIvers l1 fini Humanité,IrishCoffee - Etre Vivant,48956,,,FALSE,2,2020-10-01,,47.0,304.0,0,0.0,1.0,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9.0,1.0,,,,,,,,SANOFI PASTEUR,,,,,,,,,,,,,,,,
18,1311494611840495616,https://twitter.com/RobertQc/status/1311494611840495616,Thu Oct 01 02:34:16 +0000 2020,2020-10-01 02:34:16,RobertQc,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,,,,,788.0,,,,fr,,,956.0,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",59947704,Sat Jul 25 01:48:57 +0000 2009,FALSE,"Sc po, adm, journalisme (U-Laval), Enseigné 30 ans. Couette & Café, Centre-Ville de Qc. Régiment des IMMORTELS du Québec https://t.co/H8BvkweYa1",1019,6501,6536,102,Centre-Ville de Québec,Robert Bertrand,62109,,https://www.facebook.com/robert.bertrand.que,FALSE,2,2020-10-01,,47.0,304.0,0,0.0,1.0,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9.0,1.0,,,,,,,,SANOFI PASTEUR,,,,,,,,,,,,,,,,
19,1311496249498009607,https://twitter.com/lcaron121/status/1311496249498009607,Thu Oct 01 02:40:46 +0000 2020,2020-10-01 02:40:46,lcaron121,Êtes vous prêt à entendre la composition des vaccins ? Le témoignage hallucinant et sans remords du créateur de tous les vaccins du Monde et ancien consultant pour SANOFI PASTEUR le Docteur Stanley PLOTKIN sur la composition des vaccins ! Prêt pour le vaccin COVID19 ?,💥Êtes vous prêt à entendre la composition des vaccins💉😂? Le témoignage hallucinant et sans remords du créateur de tous les vaccins💉💉du Monde🌍et ancien consultant pour SANOFI PASTEUR le Docteur🥼Stanley PLOTKIN sur la composition des vaccins😁! Prêt pour le vaccin COVID19😂? https://t.co/FCLeCMWHus,retweet,,,,,788.0,,,,fr,,,956.0,1311218589777657857,GaumontRene,1205119072557502464,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2746051860,Tue Aug 19 18:37:50 +0000 2014,FALSE,Vivre et laisser vivre,28635,1333,1743,0,,Lucille,6127,,,FALSE,2,2020-10-01,,47.0,304.0,0,0.0,1.0,"💥, 💉, 😂, 💉, 💉, 🌍, 🥼, 😁, 😂","collision, syringe, face with tears of joy, syringe, syringe, globe showing Europe-Africa, lab coat, beaming face with smiling eyes, face with tears of joy",9.0,1.0,,,,,,,,SANOFI PASTEUR,,,,,,,,,,,,,,,,
20,1311496512871034880,https://twitter.com/GregoireLaine/status/1311496512871034880,Thu Oct 01 02:41:49 +0000 2020,2020-10-01 02:41:49,GregoireLaine,"#Covid arrêt en catastrophe des essais de vaccin: ""innocuité et immunogénicité"" prétendait AstraZeneca ? auraient-ils menti aux naïfs de la commission de l'UE ?","#Covid arrêt en catastrophe des essais de vaccin: ""innocuité et immunogénicité"" prétendait AstraZeneca ? auraient-ils menti aux naïfs de la commission de l'UE ? https://t.co/rOSq9ktD3F",retweet,,covid,,,1.0,,,,fr,,,3.0,1310506245699309568,Narquin_JY,2416749818,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1306537645615480832,Thu Sep 17 10:26:45 +0000 2020,FALSE,"De retour: Policier du 93 retraité, les loups sont dans la bergerie, sauvons nos enfants du chaos à venir, que nul ne peut ignorer #RN vite, il y a URGENCE",3349,623,315,1,#Finistère Bretagne,Kercelte 2,5560,,,FALSE,2,2020-10-01,,28.0,184.0,0,1.0,1.0,,,0.0,1.0,,,AstraZeneca,,,,,,,,,,,,,,,,,,,,,
21,1311497002702835713,https://twitter.com/pouvreausoso/status/1311497002702835713,Thu Oct 01 02:43:46 +0000 2020,2020-10-01 02:43:46,pouvreausoso,"à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI.","à tous les ""vaccinolâtres"" qui prétendent que 2 lignées de cellules humaines seulement depuis des décennies servent aux vaccins, il va falloir revoir votre copie. Dr Plotkin en commission : il a utilisé plus de 700 foetus coupés en morceaux pour les seules cultures de SANOFI. https://t.co/9BUP7J1rPS",retweet,,,,,74.0,,,,fr,,,75.0,1311244028390912000,ADv_in21,1243861395759935488,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",472069880,Mon Jan 23 15:29:25 +0000 2012,FALSE,"heureuse maman de 4 enfants, adepte de l'alimentation vivante, Supportrice du Stade Rochelais ! 💛🖤En route vers une vie meilleure !",27061,555,499,3,,sophie,10122,,,FALSE,2,2020-10-01,,49.0,300.0,0,0.0,1.0,,,0.0,1.0,,,SANOFI,,,,,,,,,,,,,,,,,,,,,
22,1311499560473309189,https://twitter.com/Tian_A1/status/1311499560473309189,Thu Oct 01 02:53:56 +0000 2020,2020-10-01 02:53:56,Tian_A1,"COVID - 19: pas de resultats avant l'election pour les essais [ Le Journal de #Montreal ] Les essais cliniques du vaccin experimental contre la #Covid19 de la #Societe americaine Moderna, l'un des plus avances, ne produiront pas de resultats avant","COVID - 19: pas de resultats avant l'election pour les essais [ Le Journal de #Montreal ] Les essais cliniques du vaccin experimental contre la #Covid19 de la #Societe americaine Moderna, l'un des plus avances, ne produiront pas de resultats avant https://t.co/St6wTksZ7d",original,,montreal covid19 societe,,https://bit.ly/3jk0tL0,0.0,,,,fr,,FALSE,0.0,,,,"<a href=""http://www.axisum.com"" rel=""nofollow"">Tiana1</a>",4838520568,Sat Jan 23 13:06:53 +0000 2016,FALSE,"""The best way to predict your future is to create it"" A. Lincoln #ArtificialIntelligence #AI #researcher #Handicap #Poor #Job #Unemployed",8373,1501,1361,3240,Everywhere,Tian_A1 (Thierry),331231,,,FALSE,2,2020-10-01,,44.0,271.0,0,3.0,1.0,,,0.0,1.0,,,,,,,,"Le Journal de #Montreal, Societe americaine Moderna",,,,,,,,,,,,,,,,
